run,iter,he,mode,loss,train_f1,val_f1,test_f1
0,200,0.5932072401046753,edge,0.7452894672751427,0.8301023793724523,0.8286804436439473,0.8300925432204093
1,200,0.5932072401046753,edge,2.874255284667015,0.8078411855784119,0.8055621385913356,0.8071522519640254
2,200,0.5932072401046753,edge,0.681086041033268,0.8190744778336019,0.8183003128258602,0.8191200692000521
3,200,0.5932072401046753,edge,0.5518093332648277,0.828834486681202,0.8278628306000568,0.8296304195845627
4,200,0.5932072401046753,edge,0.6955888047814369,0.8270728663064429,0.8261802066546592,0.826632540613558
0,200,0.5932072401046753,learned,0.6670095920562744,0.8003957721111006,0.7991871267418713,0.799888616354437
1,200,0.5932072401046753,learned,0.8605926483869553,0.8003957721111006,0.7991871267418713,0.799888616354437
2,200,0.5932072401046753,learned,0.805790364742279,0.8003957721111006,0.7991871267418713,0.799888616354437
3,200,0.5932072401046753,learned,1.0313443690538406,0.8002535785382501,0.7993293203147218,0.7995094379865628
4,200,0.5932072401046753,learned,0.9665357917547226,0.8003957721111006,0.7991871267418713,0.799888616354437
0,200,0.5932072401046753,learned,0.6687420755624771,0.8003957721111006,0.7991871267418713,0.799888616354437
1,200,0.5932072401046753,learned,1.0371125042438507,0.8003957721111006,0.7991871267418713,0.799888616354437
2,200,0.5932072401046753,learned,0.8456688970327377,0.8003957721111006,0.7991871267418713,0.799888616354437
3,200,0.5932072401046753,learned,0.6385400146245956,0.8002535785382501,0.7993293203147218,0.7995094379865628
4,200,0.5932072401046753,learned,0.9566557854413986,0.8003957721111006,0.7991871267418713,0.799888616354437
0,20,0.5932072401046753,learned,3.8606460094451904,0.8003957721111006,0.7991871267418713,0.799888616354437
0,20,0.5932072401046753,learned,3.641402170062065,0.8003957721111006,0.7991871267418713,0.799888616354437
0,20,0.5932072401046753,learned,5.230399668216705,0.8003957721111006,0.7991871267418713,0.799888616354437
0,20,0.5932072401046753,learned,5.195160105824471,0.8003957721111006,0.7991871267418713,0.799888616354437
0,100,0.5932072401046753,learned,4.219934463500977,0.816017316017316,0.816238506019528,0.8163354780609766
0,100,0.5932072401046753,learned,1.7958926409482956,0.8251927512876418,0.8248886150346004,0.8260045264417665
0,100,0.5932072401046753,learned,1.18081483989954,0.8290675261478181,0.8282420134609916,0.8290972000047397
0,50,0.5932072401046753,learned,39.9051194190979,0.8181265206812652,0.8155156886908712,0.8172834239806619
0,50,0.5932072401046753,learned,39.99218988418579,0.8326105160046766,0.8328514551142289,0.8321661749197208
0,50,0.5932072401046753,learned,12.4499554336071,0.8002575283597182,0.7990804815622334,0.7997582737904803
0,50,0.5932072401046753,learned,39.51264667510986,0.8002733276455904,0.7990449331690208,0.7998056710864645
0,100,0.5932072401046753,learned,9.12481078505516,0.8003957721111006,0.7991871267418713,0.799888616354437
1,100,0.5932072401046753,learned,21.611394360661507,0.8022995860587101,0.8005972130059721,0.8023058784496344
2,100,0.5932072401046753,learned,13.830912336707115,0.8003957721111006,0.7991871267418713,0.799888616354437
0,100,0.5932072401046753,learned,18.34321546554565,0.8004076215755048,0.7992108256706797,0.799888616354437
1,100,0.5932072401046753,learned,19.891816020011905,0.7982352197680664,0.7963906531424779,0.7980756697830389
2,100,0.5932072401046753,learned,12.641533255577087,0.8004589692545897,0.7995070622807849,0.799722725818492
0,100,0.5932072401046753,learned,31.22737997770309,0.8037768192877682,0.8017110626599677,0.80364485206119
1,100,0.5932072401046753,learned,21.49993720650673,0.8017387114102442,0.800135083894208,0.801511973741898
2,100,0.5932072401046753,learned,14.700002282857897,0.8003957721111006,0.7991871267418713,0.799888616354437
0,100,0.5932072401046753,learned,28.780521631240845,0.8003404746105476,0.7991278794198502,0.7998767670304409
1,100,0.5932072401046753,learned,21.499097108840942,0.8003918222896325,0.7991752772774671,0.799888616354437
2,100,0.5932072401046753,learned,23.12300395965576,0.8003957721111006,0.7991871267418713,0.799888616354437
