run,he,mode,loss,train_f1,val_f1,test_f1,iter
0,0.8395662307739258,learned,0.2281424701213836,0.9709730171708912,0.970727718724448,0.9710571498650968,
1,0.8395662307739258,learned,0.2389768213033676,0.970932134096484,0.9706459525756336,0.9708118714741232,
2,0.8395662307739258,learned,0.7474396228790283,0.9710547833197056,0.970727718724448,0.970893630937781,
3,0.8395662307739258,learned,0.7133733630180359,0.9712591986917416,0.97113654946852,0.9710571498650968,
4,0.8395662307739258,learned,0.2439884543418884,0.970932134096484,0.970727718724448,0.970975390401439,
0,0.8395662307739258,learned,0.1431330889463424,0.971545380212592,0.9714636140637776,0.970893630937781,
1,0.8395662307739258,learned,0.1431598365306854,0.9715862632869992,0.971545380212592,0.9706483525468071,
2,0.8395662307739258,learned,0.7035161852836609,0.971545380212592,0.9716271463614063,0.9707301120104652,
3,0.8395662307739258,learned,0.1449492275714874,0.971340964840556,0.9712183156173344,0.970893630937781,
4,0.8395662307739258,learned,0.143802598118782,0.971545380212592,0.971545380212592,0.9707301120104652,
0,0.8395662307739258,learned,0.1431331187486648,0.971545380212592,0.9714636140637776,0.970893630937781,
1,0.8395662307739258,learned,0.1431600451469421,0.9715862632869992,0.971545380212592,0.9706483525468071,
2,0.8395662307739258,learned,0.7035120725631714,0.971545380212592,0.9716271463614063,0.9707301120104652,
3,0.8395662307739258,learned,0.1449491530656814,0.971340964840556,0.9712183156173344,0.970893630937781,
4,0.8395662307739258,learned,0.1438021510839462,0.971545380212592,0.971545380212592,0.9707301120104652,
0,0.8395662307739258,edge,0.170140340924263,0.9701553556827474,0.9701553556827474,0.9701577957648598,46.0
1,0.8395662307739258,edge,0.1679649204015731,0.9701553556827474,0.9701553556827474,0.9701577957648598,41.0
2,0.8395662307739258,edge,0.173925906419754,0.9701553556827474,0.9701553556827474,0.9701577957648598,40.0
3,0.8395662307739258,edge,0.1699281185865402,0.9701553556827474,0.9701553556827474,0.9701577957648598,44.0
4,0.8395662307739258,edge,0.169276624917984,0.9701553556827474,0.9701553556827474,0.9701577957648598,46.0
0,0.8395662307739258,learned,0.1731080859899521,0.9701553556827474,0.9701553556827474,0.9701577957648598,59.0
1,0.8395662307739258,learned,0.1754608750343322,0.9701553556827474,0.9701553556827474,0.970076036301202,60.0
2,0.8395662307739258,learned,0.17682696878910065,0.9701553556827474,0.9701553556827474,0.9701577957648598,70.0
