run,he,mode,loss,train_f1,val_f1,test_f1,iter
0,0.1921397447586059,learned,0.0792942345142364,1.0,0.7,0.6274509803921569,
1,0.1921397447586059,learned,0.0886662304401397,0.9583333333333334,0.6875,0.6666666666666666,
2,0.1921397447586059,learned,0.087193563580513,0.975,0.7125,0.6078431372549019,
3,0.1921397447586059,learned,0.1026766002178192,0.9583333333333334,0.7,0.5686274509803921,
4,0.1921397447586059,learned,0.0976264625787735,0.9916666666666668,0.7125,0.5882352941176471,
0,0.1921397447586059,learned,0.0628321766853332,0.9583333333333334,0.6875,0.5882352941176471,500.0
1,0.1921397447586059,learned,0.0631217956542968,0.9916666666666668,0.6875,0.5882352941176471,500.0
2,0.1921397447586059,learned,0.0718644261360168,0.975,0.6875,0.5686274509803921,500.0
3,0.1921397447586059,learned,0.0719163492321968,0.9583333333333334,0.7,0.5882352941176471,500.0
4,0.19213974475860596,learned,0.06735070794820786,0.9833333333333333,0.7,0.5490196078431373,500.0
