run,he,mode,loss,train_f1,val_f1,test_f1,iter
0,0.1921397447586059,learned,0.1740862727165222,1.0,0.7,0.6078431372549019,
1,0.1921397447586059,learned,0.0944308936595916,0.9916666666666668,0.7,0.6274509803921569,
2,0.1921397447586059,learned,0.0870028063654899,0.9416666666666668,0.7375,0.6078431372549019,
3,0.1921397447586059,learned,0.0935580134391784,0.9166666666666666,0.7125,0.6078431372549019,
4,0.1921397447586059,learned,0.0849001184105873,0.95,0.7250000000000001,0.6078431372549019,
0,0.1921397447586059,learned,0.0801327973604202,0.975,0.6875,0.5490196078431373,500.0
1,0.1921397447586059,learned,0.0741559565067291,1.0,0.7125,0.6862745098039216,500.0
2,0.1921397447586059,learned,0.0762694850564003,1.0,0.7125,0.6078431372549019,500.0
3,0.1921397447586059,learned,0.0720890164375305,0.9666666666666668,0.7125,0.5882352941176471,500.0
4,0.19213974475860596,learned,0.0632653683423996,1.0,0.7375,0.6274509803921569,500.0
