run,iter,he,mode,loss,train_f1,val_f1,test_f1
0,500,0.9494097828865052,learned,0.0059398994781076,0.9822695035460992,0.9184397163120568,0.9184397163120568
1,446,0.9494097828865052,learned,0.0088632740080356,0.9763593380614656,0.91725768321513,0.9160756501182034
2,500,0.9494097828865052,learned,0.0059674987569451,0.9775413711583923,0.9184397163120568,0.91725768321513
3,419,0.9494097828865052,learned,0.0095697324723005,0.9881796690307328,0.91548463356974,0.9213947990543736
4,375,0.9494097828865051,learned,0.011266914196312428,0.9810874704491725,0.9178486997635934,0.9160756501182034
