run,he,mode,loss,train_f1,val_f1,test_f1
0,0.5670361518859863,learned,0.0589683316648006,0.9593228903486608,0.6508778577744095,0.6505430664309169
1,0.5670361518859863,learned,0.0629264637827873,0.9802930773117736,0.6535303776683087,0.6510482445061885
2,0.5670361518859863,learned,0.0566664449870586,0.9580596260737746,0.6523935834280662,0.6453649911593837
3,0.5670361518859863,learned,0.0622439049184322,0.993178372915614,0.6508778577744095,0.647133114422834
4,0.5670361518859863,learned,0.0590219087898731,0.985598787266296,0.6550461033219654,0.6544581965142713
0,0.5670361518859863,learned,0.0582000613212585,0.9749873673572512,0.6516357206012379,0.6531952513260925
1,0.5670361518859863,learned,0.0615669377148151,0.98155634158666,0.6513830996589617,0.6491538267239202
2,0.5670361518859863,learned,0.0575806573033332,0.9562910560889338,0.6492358216496148,0.6468805253851982
3,0.5670361518859863,learned,0.0619867034256458,0.9749873673572512,0.6459517494000253,0.6461227582722909
4,0.5670361518859863,learned,0.0584082528948783,0.969934310257706,0.6578249336870027,0.6548370800707249
0,0.084662526845932,learned,0.801292359828949,1.0,0.430952380952381,0.3523809523809524
1,0.084662526845932,learned,1.09847092628479,1.0,0.4166666666666667,0.3428571428571428
2,0.084662526845932,learned,0.8501567244529724,1.0,0.4476190476190476,0.3880952380952381
3,0.084662526845932,learned,0.7434378266334534,1.0,0.4119047619047619,0.3547619047619048
4,0.084662526845932,learned,1.0144423246383667,1.0,0.4119047619047619,0.3619047619047619
0,0.1424941420555114,learned,1.16277277469635,0.9952380952380953,0.611904761904762,0.5595238095238095
1,0.1424941420555114,learned,1.093604326248169,1.0,0.5976190476190476,0.5452380952380952
2,0.1424941420555114,learned,1.1458430290222168,1.0,0.6142857142857143,0.5619047619047619
3,0.1424941420555114,learned,1.0561039447784424,1.0,0.6309523809523809,0.5761904761904761
4,0.1424941420555114,learned,1.1340980529785156,0.9952380952380953,0.6238095238095238,0.5785714285714286
0,0.1790098249912262,learned,0.636487603187561,0.9952380952380953,0.5333333333333333,0.4452380952380952
1,0.1790098249912262,learned,0.7580696940422058,1.0,0.4976190476190476,0.4476190476190476
2,0.1790098249912262,learned,0.57523512840271,1.0,0.5285714285714286,0.5142857142857142
3,0.1790098249912262,learned,0.6310451030731201,1.0,0.5452380952380952,0.4452380952380952
4,0.1790098249912262,learned,0.7341328859329224,1.0,0.4880952380952381,0.4547619047619047
0,0.2023173421621322,learned,0.4771611392498016,1.0,0.5857142857142857,0.5047619047619047
1,0.2023173421621322,learned,0.4694139063358307,1.0,0.6142857142857143,0.569047619047619
2,0.2023173421621322,learned,0.5137004852294922,1.0,0.5857142857142857,0.5261904761904762
3,0.2023173421621322,learned,0.4347879290580749,1.0,0.569047619047619,0.5214285714285715
4,0.2023173421621322,learned,0.4451735913753509,1.0,0.6214285714285714,0.5928571428571429
0,0.232891708612442,learned,1.2526724338531494,0.5428571428571428,0.3,0.2642857142857143
1,0.232891708612442,learned,0.3170375823974609,1.0,0.7071428571428572,0.6833333333333333
2,0.232891708612442,learned,1.2822065353393557,0.4809523809523809,0.2666666666666666,0.2357142857142857
3,0.232891708612442,learned,1.17765212059021,0.6428571428571429,0.3238095238095238,0.3
4,0.232891708612442,learned,0.84694504737854,0.4333333333333333,0.2119047619047619,0.2
0,0.2746965289115906,learned,0.5339562296867371,0.3952380952380952,0.1785714285714285,0.219047619047619
1,0.2746965289115906,learned,0.367086112499237,0.4619047619047619,0.2309523809523809,0.2452380952380952
2,0.2746965289115906,learned,0.5559605956077576,0.4285714285714285,0.1976190476190476,0.2142857142857142
3,0.2746965289115906,learned,0.3507891595363617,0.3428571428571428,0.1285714285714285,0.1642857142857142
4,0.2746965289115906,learned,0.3550480008125305,0.4476190476190476,0.1928571428571428,0.25
