run,he,mode,loss,train_f1,val_f1,test_f1,iter
0,0.8099659085273743,learned,0.0054145772010087,1.0,0.768,0.792,
1,0.8099659085273743,learned,0.0060731801204383,0.9928571428571428,0.774,0.7940000000000002,
2,0.8099659085273743,learned,0.0054966560564935,0.9928571428571428,0.79,0.8000000000000002,
3,0.8099659085273743,learned,0.0050089927390217,1.0,0.768,0.796,
4,0.8099659085273743,learned,0.0061972076073288,0.9928571428571428,0.796,0.799,
0,0.0833899900317192,learned,1.0043131113052368,0.7814814814814814,0.4068908941755537,0.4454470877768662,
1,0.0833899900317192,learned,1.0767751932144165,0.5296296296296297,0.3904840032813781,0.3970467596390484,
2,0.0833899900317192,learned,1.0063695907592771,0.5296296296296297,0.3748974569319114,0.3773584905660377,
3,0.0833899900317192,learned,1.0530208349227903,0.4888888888888889,0.3789991796554552,0.3789991796554552,
4,0.0833899900317192,learned,1.0267832279205322,0.7592592592592593,0.3748974569319114,0.3954060705496308,
0,0.1995460242033004,learned,0.8799081444740295,0.9962962962962963,0.5996718621821165,0.5881870385561936,
1,0.1995460242033004,learned,0.8644925951957703,0.9962962962962963,0.6086956521739131,0.6029532403609515,
2,0.1995460242033004,learned,0.8580511212348938,0.9962962962962963,0.6004922067268252,0.605414273995078,
3,0.1995460242033004,learned,0.8692570328712463,0.9851851851851852,0.6111566858080394,0.6037735849056604,
4,0.1995460242033004,learned,0.8608274459838867,0.9962962962962963,0.6119770303527482,0.6210008203445447,
0,0.3060763776302337,learned,0.706203818321228,0.8962962962962963,0.7637407711238722,0.7481542247744053,
1,0.3060763776302337,learned,0.6797276735305786,0.8851851851851851,0.7358490566037735,0.712059064807219,
2,0.3060763776302337,learned,0.6947076320648193,0.8814814814814815,0.7350287120590648,0.7210828547990156,
3,0.3060763776302337,learned,0.6778297424316406,0.8851851851851851,0.7399507793273175,0.7317473338802297,
4,0.3060763776302337,learned,0.6985688209533691,0.9111111111111112,0.7555373256767842,0.748974569319114,
0,0.3973183631896972,learned,0.2030359804630279,0.9444444444444444,0.8572600492206727,0.8326497128794094,
1,0.3973183631896972,learned,0.205473318696022,1.0,0.8638228055783429,0.8318293683347006,
2,0.3973183631896972,learned,0.2108140587806701,0.9925925925925926,0.8301886792452831,0.8121410992616899,
3,0.3973183631896972,learned,0.1886531412601471,0.9888888888888888,0.8589007383100903,0.8285479901558653,
4,0.3973183631896972,learned,0.2202398777008056,1.0,0.8630024610336341,0.822805578342904,
0,0.4962433576583862,learned,0.1855561733245849,1.0,0.9729286300246104,0.9663658736669402,
1,0.4962433576583862,learned,0.1804555058479309,0.9888888888888888,0.9770303527481542,0.9622641509433962,
2,0.4962433576583862,learned,0.1838080286979675,1.0,0.9655455291222312,0.948318293683347,
3,0.4962433576583862,learned,0.176193356513977,1.0,0.9663658736669402,0.9491386382280558,
4,0.4962433576583862,learned,0.171826034784317,1.0,0.977850697292863,0.9589827727645612,
0,0.5954218506813049,learned,0.1462214738130569,1.0,1.0,0.9942575881870386,
1,0.5954218506813049,learned,0.1878082454204559,1.0,0.9991796554552912,0.9950779327317474,
2,0.5954218506813049,learned,0.0629886239767074,1.0,1.0,0.9950779327317474,
3,0.5954218506813049,learned,0.1482784450054168,1.0,1.0,0.9975389663658736,
4,0.5954218506813049,learned,0.1500041186809539,1.0,1.0,0.995898277276456,
0,0.6874173283576965,learned,0.0817305743694305,1.0,1.0,1.0,
1,0.6874173283576965,learned,0.0356076881289482,1.0,1.0,1.0,
2,0.6874173283576965,learned,0.0763014107942581,1.0,1.0,1.0,
3,0.6874173283576965,learned,0.03214056417346,1.0,1.0,1.0,
4,0.6874173283576965,learned,0.0302377305924892,1.0,1.0,1.0,
0,0.7957907319068909,learned,0.0076393107883632,1.0,1.0,1.0,
1,0.7957907319068909,learned,0.0080105327069759,1.0,1.0,1.0,
2,0.7957907319068909,learned,0.0081300595775246,1.0,1.0,1.0,
3,0.7957907319068909,learned,0.0086038764566183,1.0,1.0,1.0,
4,0.7957907319068909,learned,0.0076301479712128,1.0,1.0,1.0,
0,0.91435307264328,learned,0.0048732599243521,1.0,1.0,1.0,
1,0.91435307264328,learned,0.0046479376032948,1.0,1.0,1.0,
2,0.91435307264328,learned,0.0049919974990189,1.0,1.0,1.0,
3,0.91435307264328,learned,0.0047531542368233,1.0,1.0,1.0,
4,0.91435307264328,learned,0.0044313808903098,1.0,1.0,1.0,
0,0.8099659085273743,learned,0.0014147908659651,0.9928571428571428,0.78,0.795,446.0
1,0.8099659085273743,learned,0.0011204433394595,0.9928571428571428,0.778,0.809,471.0
2,0.8099659085273743,learned,0.001562827732414,1.0,0.782,0.797,384.0
3,0.8099659085273743,learned,0.0011307576205581,1.0,0.772,0.791,500.0
4,0.8099659085273743,learned,0.001909207203425467,0.9928571428571429,0.786,0.8000000000000002,345.0
