run,he,mode,loss,train_f1,val_f1,test_f1,iter
0,0.7885510921478271,learned,0.0242993645370006,1.0,0.8263772954924874,0.8297161936560935,
1,0.7885510921478271,learned,0.0226042345166206,0.998330550918197,0.8013355592654424,0.83889816360601,
2,0.7885510921478271,learned,0.0228569917380809,0.989983305509182,0.825542570951586,0.8347245409015024,
3,0.7885510921478271,learned,0.0214770846068859,1.0,0.8163606010016694,0.8414023372287145,
4,0.7885510921478271,learned,0.0243816375732421,0.994991652754591,0.8280467445742905,0.840567612687813,
0,0.7885510921478271,learned,0.0221164710819721,1.0,0.8230383973288815,0.833889816360601,
1,0.7885510921478271,learned,0.0240624211728572,0.993322203672788,0.7996661101836394,0.8539232053422371,
2,0.7885510921478271,learned,0.018334936350584,1.0,0.832220367278798,0.83889816360601,
3,0.7885510921478271,learned,0.023600697517395,0.998330550918197,0.8213689482470785,0.8480801335559266,
4,0.7885510921478271,learned,0.0332310050725936,0.998330550918197,0.8297161936560935,0.845575959933222,
0,0.7885510921478271,learned,0.0206915568560361,0.986644407345576,0.7946577629382304,0.803839732888147,
1,0.7885510921478271,learned,0.0258667171001434,0.998330550918197,0.7946577629382304,0.8030050083472455,
2,0.7885510921478271,learned,0.0257804524153471,0.988313856427379,0.7946577629382304,0.803839732888147,
3,0.7885510921478271,learned,0.0201686546206474,0.996661101836394,0.7979966611018364,0.8188647746243739,
4,0.7885510921478271,learned,0.0316165909171104,0.973288814691152,0.7762938230383973,0.8121869782971619,
0,0.7885510921478271,learned,0.6328961253166199,0.998330550918197,0.8096828046744575,0.833889816360601,
1,0.7885510921478271,learned,0.5706081986427307,0.993322203672788,0.82220367278798,0.832220367278798,
2,0.7885510921478271,learned,0.641024649143219,0.998330550918197,0.8188647746243739,0.8414023372287145,
3,0.7885510921478271,learned,0.5642961263656616,0.989983305509182,0.8288814691151919,0.8514190317195326,
4,0.7885510921478271,learned,0.6390714645385742,0.996661101836394,0.8263772954924874,0.8447412353923206,
0,0.7885510921478271,learned,0.0214945301413536,1.0,0.8272120200333889,0.8280467445742905,
1,0.7885510921478271,learned,0.0194608103483915,0.988313856427379,0.8105175292153588,0.847245409015025,
2,0.7885510921478271,learned,0.0210179984569549,0.989983305509182,0.8247078464106845,0.833889816360601,
3,0.7885510921478271,learned,0.0223111361265182,1.0,0.8188647746243739,0.843906510851419,
4,0.7885510921478271,learned,0.0214667078107595,1.0,0.8188647746243739,0.840567612687813,
0,0.7885510921478271,learned,0.0242794416844844,1.0,0.8247078464106845,0.8280467445742905,
1,0.7885510921478271,learned,0.0178263951092958,0.988313856427379,0.8105175292153588,0.847245409015025,
2,0.7885510921478271,learned,0.0238742586225271,0.989983305509182,0.8247078464106845,0.833889816360601,
3,0.7885510921478271,learned,0.0207658447325229,1.0,0.8188647746243739,0.845575959933222,
4,0.7885510921478271,learned,0.0205738674849271,1.0,0.8188647746243739,0.840567612687813,
0,0.7885510921478271,edge,0.0824217796325683,0.994991652754591,0.8363939899833055,0.8597662771285476,200.0
1,0.7885510921478271,edge,0.0965922772884368,0.9816360601001668,0.833889816360601,0.8622704507512521,200.0
2,0.7885510921478271,edge,0.0970305055379867,0.991652754590985,0.8347245409015024,0.8530884808013356,200.0
3,0.7885510921478271,edge,0.0921346619725227,0.979966611018364,0.83889816360601,0.8580968280467446,200.0
4,0.7885510921478271,edge,0.0704575479030609,0.989983305509182,0.8347245409015024,0.8480801335559266,200.0
0,0.7885510921478271,learned,0.0099584702402353,0.994991652754591,0.82220367278798,0.8522537562604341,500.0
1,0.7885510921478271,learned,0.0091902017593383,0.988313856427379,0.837228714524207,0.8547579298831386,500.0
2,0.7885510921478271,learned,0.0197853185236454,1.0,0.8196994991652755,0.840567612687813,500.0
3,0.7885510921478271,learned,0.0095602869987487,0.989983305509182,0.8196994991652755,0.8464106844741235,500.0
4,0.7885510921478271,learned,0.009339087642729282,0.998330550918197,0.8280467445742905,0.835559265442404,500.0
