run,he,mode,loss,train_f1,val_f1,test_f1,iter
0,0.6547393202781677,learned,1.1848934888839722,0.8414529914529915,0.8091880341880342,0.815424054689169,
1,0.6547393202781677,learned,1.1529476642608645,0.8431623931623932,0.8115384615384615,0.815424054689169,
2,0.6547393202781677,learned,1.1716985702514648,0.844017094017094,0.8106837606837607,0.8186284981841486,
3,0.6547393202781677,learned,1.18734872341156,0.8354700854700855,0.8042735042735043,0.8111514633625294,
4,0.6547393202781677,learned,1.185886263847351,0.841025641025641,0.8108974358974358,0.8173467207861568,
0,0.6547393202781677,learned,0.7834587097167969,0.8666666666666667,0.810042735042735,0.8162785729544969,
1,0.6547393202781677,learned,0.7911012768745422,0.8576923076923076,0.810042735042735,0.8169194616534928,
2,0.6547393202781677,learned,0.7823747396469116,0.8666666666666667,0.8106837606837607,0.8173467207861568,
3,0.6547393202781677,learned,0.7917638421058655,0.8662393162393163,0.8104700854700855,0.8211920529801325,
4,0.6547393202781677,learned,0.7905309796333313,0.8568376068376068,0.8076923076923077,0.8160649433881648,
0,0.6547393202781677,learned,0.79874187707901,0.8658119658119658,0.8083333333333333,0.8175603503524888,
1,0.6547393202781677,learned,0.8169407844543457,0.8581196581196581,0.8094017094017094,0.8169194616534928,
2,0.6547393202781677,learned,0.7828553318977356,0.8675213675213675,0.8096153846153845,0.8152104251228371,
3,0.6547393202781677,learned,0.7919919490814209,0.8666666666666667,0.8123931623931624,0.8194830164494766,
4,0.6547393202781677,learned,0.7985532283782959,0.8619658119658121,0.8106837606837607,0.814142277291177,
0,0.6547393202781677,edge,0.6967687010765076,0.8282051282051284,0.7938034188034188,0.8019653920102542,200.0
1,0.6547393202781677,edge,0.7156121730804443,0.8273504273504273,0.7931623931623931,0.8017517624439222,200.0
2,0.6547393202781677,edge,0.6877312660217285,0.8247863247863247,0.7944444444444444,0.8030335398419142,200.0
3,0.6547393202781677,edge,0.7063242793083191,0.8294871794871796,0.7944444444444444,0.8049562059389019,200.0
4,0.6547393202781677,edge,0.6970923542976379,0.8239316239316239,0.7944444444444444,0.804528946806238,200.0
