run,iter,he,mode,loss,train_f1,val_f1,test_f1
0,10,0.8099659085273743,learned,2.47113037109375,0.9,0.298,0.317
1,10,0.8099659085273743,learned,2.382678985595703,0.9428571428571428,0.394,0.435
2,10,0.8099659085273743,learned,2.439783811569214,0.8928571428571429,0.47,0.462
0,10,0.8099659085273743,learned,2.4567983150482178,0.8785714285714286,0.266,0.29
1,10,0.8099659085273743,learned,2.3755106925964355,0.95,0.394,0.409
2,10,0.8099659085273743,learned,2.422267198562622,0.8785714285714286,0.46,0.46
0,250,0.8099659085273743,learned,0.0154213979840278,1.0,0.724,0.751
0,1,0.8099659085273743,learned,2.698478937149048,0.3357142857142857,0.194,0.16
0,1,0.8099659085273743,learned,2.698478937149048,0.3357142857142857,0.194,0.16
0,1,0.8099659085273743,learned,2.698478937149048,0.3357142857142857,0.194,0.16
0,1,0.8099659085273743,learned,2.688190698623657,0.3357142857142857,0.198,0.16
0,1,0.8099659085273743,learned,2.688190698623657,0.3357142857142857,0.198,0.16
0,2,0.8099659085273743,learned,2.636714458465576,0.5357142857142857,0.236,0.218
0,2,0.8099659085273743,learned,2.6130316257476807,0.55,0.252,0.236
0,250,0.8099659085273743,learned,0.0242741759866476,1.0,0.744,0.756
0,250,0.8099659085273743,learned,0.0261492207646369,1.0,0.734,0.762
0,2,0.8099659085273743,learned,2.6130316257476807,0.55,0.252,0.236
0,2,0.8099659085273743,learned,2.636714220046997,0.5357142857142857,0.236,0.218
0,2,0.8099659085273743,learned,2.636714220046997,0.5357142857142857,0.236,0.218
0,250,0.8099659085273743,learned,0.0102293603122234,1.0,0.752,0.757
1,250,0.8099659085273743,learned,0.0135213080793619,1.0,0.738,0.756
2,250,0.8099659085273743,learned,0.016071893274784,1.0,0.742,0.756
0,250,0.8099659085273743,learned,0.0109701724722981,1.0,0.764,0.758
1,250,0.8099659085273743,learned,0.013521309942007,1.0,0.744,0.753
2,250,0.8099659085273743,learned,0.0160628091543912,1.0,0.742,0.756
0,250,0.8099659085273743,learned,0.0215302370488643,1.0,0.76,0.762
1,250,0.8099659085273743,learned,0.0168435759842395,1.0,0.736,0.755
2,250,0.8099659085273743,learned,0.038098618388175964,1.0,0.754,0.766
