run,iter,he,mode,loss,train_f1,val_f1,test_f1
0,10,0.5945221781730652,learned,0.5839608311653137,0.782275897261439,0.7825791085403199,0.7816326530612245
0,10,0.5945221781730652,learned,0.5812892615795135,0.7824459942167035,0.7835998638992855,0.7812925170068027
0,10,0.5945221781730652,learned,0.5812892317771912,0.7824459942167035,0.7835998638992855,0.7812925170068027
0,10,0.5945221781730652,learned,0.5812892615795135,0.7824459942167035,0.7835998638992855,0.7812925170068027
0,10,0.5945221781730652,learned,0.8513917724291483,0.7817656063956455,0.781898604967676,0.7816326530612245
1,10,0.5945221781730652,learned,0.642512043317159,0.78193570335091,0.7808778496087104,0.782312925170068
2,10,0.5945221781730652,learned,1.082215388615926,0.7817656063956455,0.781898604967676,0.7816326530612245
0,10,0.5945221781730652,learned,1.3041479587554932,0.7817656063956455,0.781898604967676,0.7816326530612245
1,10,0.5945221781730652,learned,1.4133611917495728,0.5878550773941147,0.5889758421231711,0.5860544217687075
2,10,0.5945221781730652,learned,1.350291132926941,0.7817656063956455,0.781898604967676,0.7816326530612245
0,10,0.5945221781730652,learned,0.8513917724291483,0.7817656063956455,0.781898604967676,0.7816326530612245
1,10,0.5945221781730652,learned,0.6425114870071411,0.78193570335091,0.7808778496087104,0.782312925170068
2,10,0.5945221781730652,learned,1.0822151104609172,0.7817656063956455,0.781898604967676,0.7816326530612245
0,10,0.5945221781730652,learned,1.304147442181905,0.7817656063956455,0.781898604967676,0.7816326530612245
1,10,0.5945221781730652,learned,1.4133602380752563,0.5878550773941147,0.5889758421231711,0.5860544217687075
2,10,0.5945221781730652,learned,1.3502912521362305,0.7817656063956455,0.781898604967676,0.7816326530612245
0,1,0.5945221781730652,learned,0.665915052096049,0.7804048307535295,0.7805375978223885,0.7785714285714286
0,1,0.5945221781730652,learned,1.472612460454305,0.780574927708794,0.7805375978223885,0.777891156462585
0,20,0.5945221781730652,learned,0.5751782953739166,0.7817656063956455,0.781898604967676,0.7816326530612245
0,20,0.5945221781730652,learned,0.5751782953739166,0.7817656063956455,0.781898604967676,0.7816326530612245
0,20,0.5945221781730652,learned,1.2621426184972127,0.7817656063956455,0.781898604967676,0.7816326530612245
