run,iter,he,mode,loss,train_f1,val_f1,test_f1
0,441,0.1274685859680175,learned,0.0197874791920185,1.0,0.7627118644067796,0.6756756756756757
1,500,0.1274685859680175,learned,0.0190401952713727,1.0,0.7627118644067796,0.5945945945945946
2,500,0.1274685859680175,learned,0.0165660344064235,1.0,0.7966101694915254,0.5945945945945946
3,500,0.1274685859680175,learned,0.0184029191732406,1.0,0.7627118644067796,0.5675675675675675
4,500,0.1274685859680175,learned,0.0382638871669769,1.0,0.847457627118644,0.6486486486486487
0,500,0.1274685859680175,learned,0.0196712333709001,1.0,0.7796610169491526,0.6486486486486487
1,500,0.1274685859680175,learned,0.0192513410001993,1.0,0.8135593220338985,0.6486486486486487
2,500,0.1274685859680175,learned,0.0178548619151115,1.0,0.7627118644067796,0.5945945945945946
3,500,0.1274685859680175,learned,0.021463643759489,1.0,0.7288135593220338,0.5945945945945946
4,500,0.12746858596801758,learned,0.021154263988137245,1.0,0.7966101694915254,0.6216216216216216
