run,he,mode,loss,train_f1,val_f1,test_f1,iter
0,0.8080567717552185,learned,0.6473186016082764,0.9803600654664484,0.9417700804582028,0.940550859012817,
1,0.8080567717552185,learned,0.6263620853424072,0.983087834151664,0.9435428883131052,0.9376874829560948,
2,0.8080567717552185,learned,0.6366021633148193,0.974631751227496,0.9394517932633302,0.9397327515680391,
3,0.8080567717552185,learned,0.5778552293777466,0.9754500818330606,0.9421791899631802,0.940141805290428,
4,0.8080567717552185,learned,0.5996220111846924,0.98417894162575,0.9390426837583526,0.9394600490864466,
0,0.8080567717552185,learned,0.0510454252362251,0.989088925259138,0.9473612436928952,0.9436869375511318,
1,0.8080567717552185,learned,0.0573126077651977,0.9893617021276596,0.9469521341879176,0.9423234251431688,
2,0.8080567717552185,learned,0.0529930740594863,0.983087834151664,0.94599754534297,0.9435505863103354,
3,0.8080567717552185,learned,0.0573389306664466,0.98417894162575,0.9472248738579028,0.9420507226615762,
4,0.8080567717552185,learned,0.0465208664536476,0.9899072558647026,0.9483158325378428,0.9421870739023726,
0,0.8080567717552185,learned,0.051822654902935,0.9893617021276596,0.9474976135278876,0.9436869375511318,
1,0.8080567717552185,learned,0.0542545802891254,0.98063284233497,0.9477703531978726,0.9446413962367056,
2,0.8080567717552185,learned,0.0531219542026519,0.9800872885979268,0.9464066548479476,0.9449140987182982,
3,0.8080567717552185,learned,0.0567916445434093,0.9828150572831424,0.9473612436928952,0.9423234251431688,
4,0.8080567717552185,learned,0.0482356809079647,0.9899072558647026,0.94817946270285,0.9420507226615762,
0,0.8080567717552185,edge,0.1669748127460479,0.9819967266775778,0.94436110732306,0.9387782928824652,200.0
1,0.8080567717552185,edge,0.1539579629898071,0.969721767594108,0.9386335742533752,0.9379601854376874,200.0
2,0.8080567717552185,edge,0.1773780733346939,0.967266775777414,0.9391790535933452,0.9345514044177802,200.0
3,0.8080567717552185,edge,0.1675648391246795,0.9800872885979268,0.9404063821082776,0.939596400327243,182.0
4,0.8080567717552185,edge,0.1760031431913375,0.97708674304419,0.9410882312832402,0.9378238341968912,182.0
0,0.8080567717552185,learned,0.0701153129339218,0.986633933442444,0.9466793945179326,0.9435505863103354,200.0
1,0.8080567717552185,learned,0.0783799812197685,0.9844517184942716,0.9464066548479476,0.9427324788655576,200.0
2,0.8080567717552185,learned,0.06411968171596527,0.9879978177850518,0.9447702168280376,0.9402781565312245,200.0
