run,iter,he,mode,loss,train_f1,val_f1,test_f1
0,10,0.5932072401046753,learned,16.294747799634933,0.8002338294309097,0.799056782633425,0.7996753285225078
0,10,0.5932072401046753,learned,16.294747829437256,0.8002338294309097,0.799056782633425,0.7996753285225078
1,10,0.5932072401046753,learned,5.065323993563652,0.7997045533541884,0.7985235567352356,0.7991895062386691
2,10,0.5932072401046753,learned,11.861253142356873,0.7995702594242741,0.7982154706607262,0.7991895062386691
0,10,0.5932072401046753,learned,42.95082235336304,0.8002338294309097,0.799056782633425,0.7996634791985118
1,10,0.5932072401046753,learned,31.632912158966064,0.799791449426486,0.7985709545928524,0.7991895062386691
2,10,0.5932072401046753,learned,35.75873708724976,0.8003365247890796,0.7990923310266376,0.7998293697344566
0,1,0.5932072401046753,learned,40.23669821023941,0.8000521376433786,0.7987960944165323,0.7995449859585511
0,1,0.5932072401046753,learned,65.40202808380127,0.7991160299554461,0.7980495781590672,0.79864443733485
0,20,0.5932072401046753,learned,15.022045224905014,0.8003799728252283,0.7991397288842544,0.7998649177064449
0,20,0.5932072401046753,learned,38.35582780838013,0.8003839226466963,0.7991752772774671,0.7998767670304409
